symbol,threshold,hold_days,count,win_rate,avg_profit,max_profit,max_loss
ETHUSDT,5.5,7,37,51.35135135135135,1.3185453613982665,27.090808416389823,-20.566254366114407
ETHUSDT,5.5,14,37,43.24324324324324,-0.09896109544024445,24.23307117772171,-25.797288265062544
ETHUSDT,5.8,1,12,58.333333333333336,0.555193299385604,7.361563075334408,-5.557423681986308
ETHUSDT,5.8,3,12,75.0,1.879601624677526,15.450722501137934,-12.756476087476779
ETHUSDT,5.8,5,12,50.0,2.487287392821686,20.749204464889285,-15.532915882810908
ETHUSDT,5.8,7,12,75.0,3.161719513170922,23.25369738339021,-20.566254366114407
ETHUSDT,5.8,14,12,75.0,6.573219922894682,24.23307117772171,-17.420228476911472
ETHUSDT,6.0,1,8,62.5,0.958703690561617,7.361563075334408,-5.557423681986308
ETHUSDT,6.0,3,8,75.0,0.964561743452313,15.450722501137934,-12.756476087476779
ETHUSDT,6.0,5,8,37.5,-0.4630448408334731,13.706801089696121,-15.532915882810908
ETHUSDT,6.0,7,8,62.5,0.037943681754776915,19.488848278157835,-20.566254366114407
ETHUSDT,6.0,14,8,62.5,3.6403201359209576,18.336650882830497,-17.420228476911472
